word,part of speech,definition
tower,noun,"a building or structure high in proportion to its lateral dimensions, either isolated or forming part of a building."
town,noun,"a thickly populated area, usually smaller than a city and larger than a village, having fixed boundaries and certain local powers of government."
tow,verb,"to pull or haul (a car, barge, trailer, etc.) by a rope, chain, or other device"
toys,noun,"an object, often a small representation of something familiar, as an animal or person, for children or others to play with; plaything."
toy,noun,"an object, often a small representation of something familiar, as an animal or person, for children or others to play with; plaything."
toy,noun,"an object, often a small representation of something familiar, as an animal or person, for children or others to play with; plaything."
trace,noun,"a surviving mark, sign, or evidence of the former existence, influence, or action of some agent or event; vestige"
track,noun,"a structure consisting of a pair of parallel lines of rails with their crossties, on which a railroad train, trolley, or the like runs."
trade,noun,"the act or process of buying, selling, or exchanging commodities, at either wholesale or retail, within a country or between countries"
trade,noun,"the act or process of buying, selling, or exchanging commodities, at either wholesale or retail, within a country or between countries"
trail,verb,to drag or let drag along the ground or other surface; draw or drag along behind.
trail,verb,to drag or let drag along the ground or other surface; draw or drag along behind.
trains,noun,"Railroads. a self-propelled, connected group of rolling stock."
train,noun,"Railroads. a self-propelled, connected group of rolling stock."
train,noun,"Railroads. a self-propelled, connected group of rolling stock."
traipse,verb,to walk or go aimlessly or idly or without finding or reaching one's goal
trample,verb,to tread or step heavily and noisily; stamp.
tramp,verb,"to tread or walk with a firm, heavy, resounding step."
tramp,verb,"to tread or walk with a firm, heavy, resounding step."
transcribe,verb,"to make a written copy, especially a typewritten copy, of (dictated material, notes taken during a lecture, or other spoken material)."
transfer,verb,"to convey or remove from one place, person, etc., to another"
transform,verb,"to change in form, appearance, or structure; metamorphose."
translate,verb,to turn from one language into another or from a foreign language into one's own
transmit,verb,"to send or forward, as to a recipient or destination; dispatch; convey."
transport,verb,"to carry, move, or convey from one place to another."
transport,verb,"to carry, move, or convey from one place to another."
trap,noun,"a contrivance  for catching game or other animals, as a mechanical device that springs shut suddenly."
travel,verb,"to go from one place to another, as by car, train, plane, or ship; take a trip; journey"
traverse,verb,"to pass or move over, along, or through."
tray,noun,"a flat, shallow container or receptacle made of wood, metal, etc., usually with slightly raised edges,  for carrying, holding, or displaying articles of food, glass, china, etc."
tread,verb,to set down the foot or feet in walking; step; walk.
treasure,noun,"wealth or riches stored or accumulated, especially in the form of precious metals, money, jewels, or plate."
treatment,noun,an act or manner of treating.
treat,verb,to act or behave toward (a person) in some specified way
trees,noun,"a plant having a permanently woody main stem or trunk, ordinarily growing to a considerable height, and usually developing branches at some distance from the ground."
tree,noun,"a plant having a permanently woody main stem or trunk, ordinarily growing to a considerable height, and usually developing branches at some distance from the ground."
tremble,verb,"to shake involuntarily with quick, short movements, as from fear, excitement, weakness, or cold; quake; quiver."
tremendously,adjective,"extraordinarily great in size, amount, or intensity"
trick,noun,"a crafty or underhanded device, maneuver, stratagem, or the like, intended to deceive or cheat; artifice; ruse; wile."
trick,noun,"a crafty or underhanded device, maneuver, stratagem, or the like, intended to deceive or cheat; artifice; ruse; wile."
trill,verb,to sing or play with a vibratory or quavering effect.
trim,verb,"to put into a neat or orderly condition by clipping, paring, pruning, etc."
trip,noun,a journey or voyage
trip,noun,a journey or voyage
triumphantly,adjective,having achieved victory or success; victorious; successful.
triumph,noun,"the act, fact, or condition of being victorious or triumphant; victory; conquest."
trivialize,verb,"to make trivial; cause to appear unimportant, trifling, etc."
trot,verb,"(of a horse) to go at a gait between a walk and a run, in which the legs move in diagonal pairs, but not quite simultaneously, so that when the movement is slow one foot at least is always on the ground, and when fast all four feet are momentarily off the ground at once."
troubleshoot,verb,to act or be employed as a troubleshooter
trouble,verb,to disturb the mental calm and contentment of; worry; distress; agitate.
trouble,verb,to disturb the mental calm and contentment of; worry; distress; agitate.
trounce,verb,to beat severely; thrash.
trousers,noun,"Sometimes, trouser. Also called pants. a usually loose-fitting outer garment for the lower part of the body, having individual leg portions that reach typically to the ankle but sometimes to any of various other points from the upper leg down."
trucks,noun,"any of various forms of vehicle for carrying goods and materials, usually consisting of a single self-propelled unit but also often composed of a trailer vehicle hauled by a tractor unit."
truck,noun,"any of various forms of vehicle for carrying goods and materials, usually consisting of a single self-propelled unit but also often composed of a trailer vehicle hauled by a tractor unit."
trudge,verb,"to walk, especially laboriously or wearily"
truly,adverb,in accordance with fact or truth; truthfully.
trumpet,noun,"Music. any of a family of brass wind instruments with a powerful, penetrating tone, consisting of a tube commonly curved once or twice around on itself and having a cup-shaped mouthpiece at one end and a flaring bell at the other."
trundle,verb,to cause (a circular object) to roll along; roll.
trust,noun,"reliance on the integrity, strength, ability, surety, etc., of a person or thing; confidence."
